name,url
polkadot-claims,https://github.com/w3f/polkadot-claims
dai-insured,https://github.com/smartkek/dai-insured
open-nft-exchange,https://github.com/ethereumdegen/open-nft-exchange
nft-adapter,https://github.com/makerdao/nft-adapter
etherbank,https://github.com/atvanguard/etherbank
CTF,https://github.com/farazsth98/CTF
zokrates.js,https://github.com/EYBlockchain/zokrates.js
signature-verification,https://github.com/godappslab/signature-verification
qdao-smartcontract-usdq,https://github.com/platinum-engineering/qdao-smartcontract-usdq
solidity-many-to-many-relationship,https://github.com/rayonprotocol-research/solidity-many-to-many-relationship
maker-scd-truffle-project,https://github.com/empowerthedao/maker-scd-truffle-project
bonding-curve-generic,https://github.com/okwme/bonding-curve-generic
BlockChain,https://github.com/nagenn/BlockChain
solidity-iterable-mapping,https://github.com/rayonprotocol-research/solidity-iterable-mapping
megapoker,https://github.com/makerdao/megapoker
SmartContract,https://github.com/inSureToken/SmartContract
